YAGO:Albania	YAGO:Tirane
YAGO:Andorra	YAGO:Andorra_la_Vella
YAGO:Austria	YAGO:Vienna
YAGO:Belarus	YAGO:Minsk
YAGO:Belgium	YAGO:Brussels
YAGO:Bosnia-Herzegovina	YAGO:Sarajevo
YAGO:Bulgaria	YAGO:Sofia
YAGO:Croatia	YAGO:Zagreb
YAGO:Czech_Republic	YAGO:Prague
YAGO:Cyprus	YAGO:Nicosia
YAGO:Denmark	YAGO:Copenhagen
YAGO:Estonia	YAGO:Tallinn
YAGO:Finland	YAGO:Helsinki
YAGO:France	YAGO:Paris
YAGO:Germany	YAGO:Berlin
YAGO:Greece	YAGO:Athens
YAGO:Hungary	YAGO:Budapest
YAGO:Iceland	YAGO:Reykjavik
YAGO:Ireland	YAGO:Dublin
YAGO:Italy	YAGO:Rome
YAGO:Latvia	YAGO:Riga
YAGO:Liechtenstein	YAGO:Vaduz
YAGO:Lithuania	YAGO:Vilnius
YAGO:Luxembourg	YAGO:Luxembourg
YAGO:Macedonia	YAGO:Skopje
YAGO:Malta	YAGO:Valletta
YAGO:Moldova	YAGO:Kishinev
YAGO:Monaco	YAGO:Monaco
YAGO:Netherlands	YAGO:Amsterdam
YAGO:Norway	YAGO:Oslo
YAGO:Poland	YAGO:Warsaw
YAGO:Portugal	YAGO:Lisbon
YAGO:Romania	YAGO:Bucharest
YAGO:Russia	YAGO:Moscow
YAGO:San_Marino	YAGO:San_Marino
YAGO:Slovakia	YAGO:Bratislava
YAGO:Slovenia	YAGO:Ljubljana
YAGO:Spain	YAGO:Madrid
YAGO:Sweden	YAGO:Stockholm
YAGO:Switzerland	YAGO:Bern
YAGO:Ukraine	YAGO:Kiev
YAGO:United_Kingdom	YAGO:London
YAGO:Vatican_City	YAGO:Vatican_City
YAGO:Yugoslavia	YAGO:Belgrade
YAGO:Armenia	YAGO:Yerevan
YAGO:Azerbaijan	YAGO:Baku
YAGO:Georgia	YAGO:Tbilisi
