Canada	United_States
France	Germany
France	Belgium
Spain	France
Portugal	Spain
France	Italy
Germany	Belgium
Germany	Poland
Ireland	United_Kingdom
Norway	Sweden
Sweden	Poland
Sweden	Finland
Germany	Denmark
Denmark	Norway
Denmark	Sweden
Netherlands	Germany
Netherlands	United_Kingdom
Netherlands	Belgium
Belgium	United_Kingdom
China	South_Korea
South_Korea	Japan
Finland	Estonia
Estonia	Latvia
France	Switzerland
Switzerland	Italy
Switzerland	Germany
Switzerland	Austria
Italy	Austria
France	United_Kingdom

